weights,kv,gpus,graph,name,repeat,status,tps,generated_tokens,nfe,generation_seconds,output_sha256,tokens_per_forward,forwards_per_second,output_matches_trial,error
fp8,bf16,4,False,fp8-bf16-4gpu-eager,4,passed,182.70847703798748,425,44,2.3261099150404334,342259e4633586476eb5098c2a00b7ca27c0a22bd65c516aebad36e80cc88cc7,9.659090909090908,18.915701152168115,True,
fp8,bf16,4,False,fp8-bf16-4gpu-eager,5,passed,182.06829037806278,425,44,2.334288958925754,342259e4633586476eb5098c2a00b7ca27c0a22bd65c516aebad36e80cc88cc7,9.659090909090908,18.8494230038465,True,
fp8,bf16,4,True,fp8-bf16-4gpu-graph,1,passed,456.2174274508253,402,52,0.8811587980017066,d675f407c50acb8c33bb307d3f0e9e95221a6720e7a1b3ece6febfa325f5f692,7.730769230769231,59.01319957075352,True,
fp8,bf16,4,True,fp8-bf16-4gpu-graph,2,passed,454.2361101905117,402,52,0.8850022950209677,d675f407c50acb8c33bb307d3f0e9e95221a6720e7a1b3ece6febfa325f5f692,7.730769230769231,58.75690977588708,True,
fp8,bf16,4,True,fp8-bf16-4gpu-graph,3,passed,494.13758836424614,418,49,0.8459182418882847,61f5976c4b5de7f13adf68d56f4822262903eae80047dfd9cd03bc66af6dac8d,8.53061224489796,57.92521968863172,False,
fp8,bf16,4,True,fp8-bf16-4gpu-graph,4,passed,455.6920951506275,402,52,0.8821746180765331,d675f407c50acb8c33bb307d3f0e9e95221a6720e7a1b3ece6febfa325f5f692,7.730769230769231,58.94524613888714,True,
fp8,bf16,4,True,fp8-bf16-4gpu-graph,5,passed,454.2887259949008,402,52,0.8848997938912362,d675f407c50acb8c33bb307d3f0e9e95221a6720e7a1b3ece6febfa325f5f692,7.730769230769231,58.763715800335426,True,
fp8,fp8_e4m3,2,False,fp8-fp8_e4m3-2gpu-eager,1,passed,126.13185860107464,395,48,3.1316433800384402,d4a49d5e70b127a06bf81b123342f9a2473e4f60c5ab7e7428dc8c5a4d4ac311,8.229166666666666,15.327415728738185,True,
fp8,fp8_e4m3,2,False,fp8-fp8_e4m3-2gpu-eager,2,passed,127.32301608241264,395,48,3.102345610037446,d4a49d5e70b127a06bf81b123342f9a2473e4f60c5ab7e7428dc8c5a4d4ac311,8.229166666666666,15.472163979634955,True,
fp8,fp8_e4m3,2,False,fp8-fp8_e4m3-2gpu-eager,3,passed,126.31523774679383,395,48,3.1270969919860363,d4a49d5e70b127a06bf81b123342f9a2473e4f60c5ab7e7428dc8c5a4d4ac311,8.229166666666666,15.34969977682558,True,
fp8,fp8_e4m3,2,False,fp8-fp8_e4m3-2gpu-eager,4,passed,121.40613091400857,395,48,3.253542444901541,d4a49d5e70b127a06bf81b123342f9a2473e4f60c5ab7e7428dc8c5a4d4ac311,8.229166666666666,14.75315008575294,True,
fp8,fp8_e4m3,2,False,fp8-fp8_e4m3-2gpu-eager,5,passed,125.8219036714818,395,48,3.1393580010626465,d4a49d5e70b127a06bf81b123342f9a2473e4f60c5ab7e7428dc8c5a4d4ac311,8.229166666666666,15.289750319572473,True,
fp8,fp8_e4m3,2,True,fp8-fp8_e4m3-2gpu-graph,1,passed,271.8392497881594,395,60,1.4530646339990199,6b8faff17097ee2ad6cabfe163bc0568797662ed4b586566a33457a5bebef22b,6.583333333333333,41.292037942505225,False,
fp8,fp8_e4m3,2,True,fp8-fp8_e4m3-2gpu-graph,2,passed,271.74104847933177,395,60,1.4535897399764508,6b8faff17097ee2ad6cabfe163bc0568797662ed4b586566a33457a5bebef22b,6.583333333333333,41.27712128799976,False,
fp8,fp8_e4m3,2,True,fp8-fp8_e4m3-2gpu-graph,3,passed,269.8787193509688,395,60,1.4636204030830413,6b8faff17097ee2ad6cabfe163bc0568797662ed4b586566a33457a5bebef22b,6.583333333333333,40.99423585078008,False,
fp8,fp8_e4m3,2,True,fp8-fp8_e4m3-2gpu-graph,4,passed,272.3449552058612,395,60,1.4503665019292384,6b8faff17097ee2ad6cabfe163bc0568797662ed4b586566a33457a5bebef22b,6.583333333333333,41.36885395532068,False,
fp8,fp8_e4m3,2,True,fp8-fp8_e4m3-2gpu-graph,5,passed,273.6369292479257,395,60,1.4435186109039932,6b8faff17097ee2ad6cabfe163bc0568797662ed4b586566a33457a5bebef22b,6.583333333333333,41.56510317690011,False,
fp8,fp8_e4m3,4,False,fp8-fp8_e4m3-4gpu-eager,1,passed,101.4174717462253,361,55,3.5595444629434496,eecbb8e0dd2a7e8d03a2e6575d109c9397d66d5e50429a9f319a09ef3c30ed94,6.5636363636363635,15.451415362998313,True,
fp8,fp8_e4m3,4,False,fp8-fp8_e4m3-4gpu-eager,2,passed,101.92588764252397,361,55,3.5417891209945083,eecbb8e0dd2a7e8d03a2e6575d109c9397d66d5e50429a9f319a09ef3c30ed94,6.5636363636363635,15.528874848583985,True,
fp8,fp8_e4m3,4,False,fp8-fp8_e4m3-4gpu-eager,3,passed,100.6882558511739,361,55,3.585323799168691,eecbb8e0dd2a7e8d03a2e6575d109c9397d66d5e50429a9f319a09ef3c30ed94,6.5636363636363635,15.340315988405996,True,
fp8,fp8_e4m3,4,False,fp8-fp8_e4m3-4gpu-eager,4,passed,100.17653552778309,361,55,3.6036382981110364,eecbb8e0dd2a7e8d03a2e6575d109c9397d66d5e50429a9f319a09ef3c30ed94,6.5636363636363635,15.2623530582495,True,
fp8,fp8_e4m3,4,False,fp8-fp8_e4m3-4gpu-eager,5,passed,102.32953666380119,361,55,3.527818182017654,eecbb8e0dd2a7e8d03a2e6575d109c9397d66d5e50429a9f319a09ef3c30ed94,6.5636363636363635,15.590372621908768,True,
fp8,fp8_e4m3,4,True,fp8-fp8_e4m3-4gpu-graph,1,passed,403.1560369409955,412,47,1.021936824079603,08b7fcf9c31e33e3f670abf9412ece9eb18d83a8243ed20cd06859ccdcb250bd,8.76595744680851,45.991101301521326,True,
fp8,fp8_e4m3,4,True,fp8-fp8_e4m3-4gpu-graph,2,passed,403.93329023398917,412,47,1.0199704009573907,08b7fcf9c31e33e3f670abf9412ece9eb18d83a8243ed20cd06859ccdcb250bd,8.76595744680851,46.079768546110415,True,
fp8,fp8_e4m3,4,True,fp8-fp8_e4m3-4gpu-graph,3,passed,403.7462280276328,412,47,1.0204429698642343,08b7fcf9c31e33e3f670abf9412ece9eb18d83a8243ed20cd06859ccdcb250bd,8.76595744680851,46.05842892548238,True,
fp8,fp8_e4m3,4,True,fp8-fp8_e4m3-4gpu-graph,4,passed,404.075586796707,412,47,1.019611214986071,08b7fcf9c31e33e3f670abf9412ece9eb18d83a8243ed20cd06859ccdcb250bd,8.76595744680851,46.096001406420456,True,
fp8,fp8_e4m3,4,True,fp8-fp8_e4m3-4gpu-graph,5,passed,402.96028904053304,412,47,1.0224332551006228,08b7fcf9c31e33e3f670abf9412ece9eb18d83a8243ed20cd06859ccdcb250bd,8.76595744680851,45.968770837148185,True,
